Dataset,Simulator Accuracy,Simulator Noise,IonQ Accuracy,IonQ Noise,Quantinuum Accuracy,Quantinuum Noise,Rigetti Accuracy,Rigetti Noise,Train Score,Test Score,Non-Simulator Accuracy,Memory,CPU,Memory IonQ,CPU IonQ,Memory Quantinuum,CPU Quantinuum,Memory Rigetti,CPU Rigetti
Iris,0.3333333333333333,74.16666666666667,0.23333333333333334,75.4,0.23333333333333334,73.93333333333334,0.2,74.66666666666667,0.9916666666666667,0.9666666666666667,0.9666666666666667,17.9,63.8,14.0,63.5,12.6,63.9,12.7,63.9
Wine,0.3,76.23333333333333,0.3,75.13333333333334,0.3,75.33333333333333,0.36666666666666664,75.56666666666666,0.9859154929577465,0.9166666666666666,0.9166666666666666,13.2,65.9,13.7,63.6,15.3,63.2,14.7,63.3
Breast Cancer,0.3333333333333333,75.33333333333333,0.3333333333333333,73.6,0.13333333333333333,75.3,0.3333333333333333,74.43333333333334,0.9648351648351648,0.9473684210526315,0.9473684210526315,15.1,63.8,15.3,63.8,12.5,64.3,14.1,64.0
