Dataset,Train Score,Test Score,Accuracy,Memory,CPU
Iris,0.9916666666666667,0.9666666666666667,0.9666666666666667,15.6,56.1
Wine,0.9295774647887324,0.7222222222222222,0.7222222222222222,19.0,53.2
Breast Cancer,0.9142857142857143,0.9298245614035088,0.9298245614035088,16.4,63.5
