Dataset,Train Score,Test Score,Accuracy,Memory,CPU
Iris,0.85,0.8666666666666667,0.8666666666666667,16.6,76.3
Wine,0.7394366197183099,0.6388888888888888,0.6388888888888888,43.1,76.4
Breast Cancer,0.8505494505494505,0.8508771929824561,0.8508771929824561,21.5,76.4
