Dataset,Train Score,Test Score,Accuracy,Memory,CPU
Iris,0.85,0.8666666666666667,0.8666666666666667,13.6,75.9
Wine,0.647887323943662,0.4166666666666667,0.4166666666666667,18.6,75.9
Breast Cancer,0.734065934065934,0.7192982456140351,0.7192982456140351,16.5,75.9
